TEMPERATURA,TEMP_PAINEL,IRRADIANCIA,UMIDADE,VELOCIDADE
23.89,22.0,3.23595,88.49,0.0
23.88,22.0,3.6982199999999996,88.43,0.0
23.89,22.0,3.23595,88.48,0.0
23.88,22.0,3.6982199999999996,88.51,0.0
23.89,22.0,2.3113900000000003,88.52,0.0
23.89,22.0,2.3113900000000003,88.41,0.0
23.89,22.0,1.8491099999999998,88.49,0.0
23.89,22.0,2.3113900000000003,88.42,0.0
23.89,22.0,1.8491099999999998,88.4,0.0
23.89,22.0,2.3113900000000003,88.52,0.0
23.89,22.0,2.3113900000000003,88.44,0.0
23.89,22.0,1.8491099999999998,88.5,0.0
23.88,22.0,2.3113900000000003,88.61,0.0
23.89,22.0,2.3113900000000003,88.46,0.0
23.89,22.0,1.8491099999999998,88.49,0.0
23.89,22.0,2.3113900000000003,88.49,0.0
23.89,22.0,2.3113900000000003,88.49,0.0
23.89,22.0,2.3113900000000003,88.41,0.0
23.89,22.0,2.77367,88.45,0.0
23.89,22.0,2.3113900000000003,88.5,0.0
23.9,22.0,3.23595,88.49,0.0
23.89,22.0,3.23595,88.51,0.0
23.89,22.0,3.23595,88.47,0.0
23.89,22.0,3.6982199999999996,88.52,0.0
23.9,22.0,3.6982199999999996,88.57,0.0
23.9,22.0,3.23595,88.61,0.0
23.89,22.0,3.23595,88.48,0.0
23.9,22.0,3.23595,88.44,0.0
23.9,22.0,3.6982199999999996,88.53,0.0
23.9,22.0,3.6982199999999996,88.49,0.0
23.9,22.0,3.6982199999999996,88.41,0.0
23.89,22.0,3.6982199999999996,88.46,0.0
23.89,22.0,3.23595,88.53,0.0
23.9,22.0,3.23595,88.46,0.0
23.9,22.0,2.77367,88.43,0.0
23.9,22.0,1.8491099999999998,88.44,0.0
23.9,22.0,2.3113900000000003,88.48,0.0
23.9,22.0,1.8491099999999998,88.46,0.0
23.9,22.0,1.8491099999999998,88.47,0.0
23.9,22.0,2.3113900000000003,88.46,0.0
23.9,22.0,1.8491099999999998,88.49,0.0
23.9,22.0,2.3113900000000003,88.48,0.0
23.9,22.0,1.8491099999999998,88.5,0.0
23.9,22.0,2.3113900000000003,88.51,0.0
23.9,22.0,3.6982199999999996,88.5,0.0
23.89,22.0,3.23595,88.53,0.0
23.9,22.0,3.23595,88.52,0.0
23.9,22.0,3.6982199999999996,88.49,0.0
23.9,22.0,3.6982199999999996,88.45,0.0
23.9,22.0,3.6982199999999996,88.43,0.0
23.9,22.0,3.6982199999999996,88.44,0.0
23.9,22.0,4.1605,88.5,0.0
23.9,22.0,3.6982199999999996,88.44,0.0
23.9,22.0,3.6982199999999996,88.49,0.0
23.9,22.0,2.77367,88.52,0.0
23.9,22.0,2.77367,88.41,0.0
23.9,22.0,2.3113900000000003,88.42,0.0
23.91,22.0,2.3113900000000003,88.37,0.0
23.91,22.0,1.38683,88.49,0.0
23.9,22.0,1.8491099999999998,88.44,0.0
